t,asset,p_bull,q0,q1,q2,q3,q4
62,CMC200,0.4000000059604645,-0.10417669266462326,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.09259422868490219
63,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523995757102966,0.01154908537864685,0.039448074996471405
63,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223847746849,-0.006552383303642273,0.03395352140069008,0.09259422868490219
64,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523995757102966,0.01154908537864685,0.039448074996471405
64,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395352140069008,0.09259422868490219
65,SPX,0.6000000238418579,-0.03397554159164429,-0.01630140095949173,0.0035523921251296997,0.01154908537864685,0.039448074996471405
65,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224592804909,-0.006552383303642273,0.033953528851270676,0.0925942212343216
66,SPX,0.6000000238418579,-0.03397553414106369,-0.01630140095949173,0.0035523921251296997,0.011549081653356552,0.039448074996471405
66,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395352140069008,0.0925942212343216
67,SPX,0.6000000238418579,-0.03397552669048309,-0.01630140095949173,0.0035523995757102966,0.01154908537864685,0.0394480898976326
67,CMC200,0.4000000059604645,-0.10417668521404266,-0.034132231026887894,-0.006552383303642273,0.033953528851270676,0.0925942212343216
68,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523921251296997,0.011549077928066254,0.039448082447052
68,CMC200,0.4000000059604645,-0.10417669266462326,-0.03413224220275879,-0.006552383303642273,0.03395352140069008,0.09259422868490219
69,SPX,0.6000000238418579,-0.03397553041577339,-0.016301415860652924,0.0035524070262908936,0.011549074202775955,0.0394480898976326
69,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223847746849,-0.006552383303642273,0.03395351395010948,0.09259422868490219
70,SPX,0.6000000238418579,-0.03397554159164429,-0.01630140095949173,0.0035523995757102966,0.01154908537864685,0.039448074996471405
70,CMC200,0.4000000059604645,-0.10417669266462326,-0.03413224220275879,-0.006552383303642273,0.03395352140069008,0.09259422868490219
71,SPX,0.6000000238418579,-0.03397554159164429,-0.01630140095949173,0.0035523921251296997,0.01154908537864685,0.039448074996471405
71,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223847746849,-0.006552383303642273,0.03395352140069008,0.09259422868490219
72,SPX,0.6000000238418579,-0.03397553786635399,-0.016301408410072327,0.0035524070262908936,0.01154908537864685,0.039448074996471405
72,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395352140069008,0.09259422868490219
73,SPX,0.6000000238418579,-0.033975545316934586,-0.01630140095949173,0.0035524070262908936,0.011549089103937149,0.039448074996471405
73,CMC200,0.4000000059604645,-0.10417669266462326,-0.03413224592804909,-0.006552383303642273,0.033953528851270676,0.09259422868490219
74,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523995757102966,0.011549089103937149,0.039448074996471405
74,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223847746849,-0.006552383303642273,0.03395352140069008,0.09259422868490219
75,SPX,0.6000000238418579,-0.03397553786635399,-0.01630140095949173,0.0035523995757102966,0.011549077928066254,0.039448074996471405
75,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.0925942212343216
