quintil,t,SPX_ret,SPX_cumret,CMC200_ret,CMC200_cumret
2,50,-0.005715,0.102835,-0.014531,0.006751
2,51,0.003430,0.106617,0.006452,0.013247
2,52,-0.029755,0.073690,-0.082231,-0.070074
2,53,-0.028411,0.043186,-0.081270,-0.145649
2,54,0.044818,0.089939,0.109101,-0.052439
2,55,0.016337,0.107746,0.027242,-0.026625
2,56,-0.007805,0.099100,-0.014440,-0.040681
2,57,-0.032323,0.063574,-0.081767,-0.119121
2,58,0.044892,0.111320,0.106084,-0.025674
2,59,0.044033,0.160255,0.104647,0.076287
2,60,0.043459,0.210679,0.103007,0.187152
2,61,0.002775,0.214038,-0.000086,0.187050
2,62,-0.009767,0.202181,-0.024273,0.158236
2,63,0.018202,0.224063,0.031735,0.194992
2,64,-0.007987,0.214287,-0.021868,0.168860
2,65,0.044251,0.268020,0.102320,0.288457
2,66,0.043547,0.323239,0.102025,0.419912
2,67,-0.036795,0.274550,-0.080260,0.305950
2,68,-0.035346,0.229500,-0.078015,0.204067
2,69,-0.006272,0.221789,-0.016462,0.184245
2,70,0.044858,0.276597,0.104898,0.308470
2,71,-0.031188,0.236782,-0.082166,0.200959
2,72,-0.030497,0.199063,-0.080380,0.104425
2,73,0.014887,0.216914,0.025875,0.133002
2,74,0.043948,0.270394,0.106130,0.253248
2,75,0.017576,0.292723,0.030135,0.291015
2,76,0.003324,0.297020,0.003788,0.295905
2,77,-0.008535,0.285950,-0.019657,0.270431
2,78,0.003802,0.290839,0.002675,0.273829
2,79,-0.033656,0.247395,-0.080351,0.171475
2,80,0.044920,0.303428,0.105435,0.294990
2,81,0.016902,0.325458,0.029832,0.333622
2,82,0.043962,0.383728,0.103286,0.471366
2,83,0.019219,0.410322,0.034198,0.521685
2,84,0.003575,0.415363,-0.000429,0.521032
2,85,-0.037363,0.362481,-0.079032,0.400822
2,86,-0.007100,0.352808,-0.019346,0.373722
2,87,-0.032079,0.309411,-0.079370,0.264689
2,88,-0.029335,0.270999,-0.079660,0.163944
2,89,0.013386,0.288013,0.024099,0.191994
2,90,0.044457,0.345274,0.107391,0.320004
2,91,0.017212,0.368429,0.029186,0.358529
2,92,-0.033201,0.322996,-0.082844,0.245983
2,93,-0.032219,0.280371,-0.080229,0.146019
2,94,0.044302,0.337094,0.106665,0.268259
2,95,0.043642,0.395447,0.104982,0.401404
2,96,0.002921,0.399522,0.003671,0.406548
2,97,-0.035032,0.350494,-0.080778,0.292930
2,98,0.002870,0.354371,0.003177,0.297037
2,99,-0.032137,0.310845,-0.080128,0.193108
2,100,0.044597,0.369306,0.106032,0.319615
2,101,0.003133,0.373596,0.005390,0.326728
2,102,0.003658,0.378620,0.004911,0.333243
2,103,-0.032773,0.333439,-0.081230,0.224944
2,104,-0.006257,0.325095,-0.014730,0.206901
2,105,0.015485,0.345614,0.026464,0.238840
2,106,0.016139,0.367331,0.027520,0.272933
2,107,-0.031846,0.323786,-0.082273,0.168205
2,108,0.016213,0.345249,0.027416,0.200232
2,109,-0.030922,0.303650,-0.081498,0.102415
2,110,-0.029483,0.265214,-0.080351,0.013834
2,111,-0.004852,0.259076,-0.009947,0.003749
2,112,0.044626,0.315263,0.108130,0.112285
2,113,0.016929,0.337529,0.028297,0.143759
2,114,0.018307,0.362015,0.030143,0.178236
2,115,-0.034392,0.315173,-0.081795,0.081861
2,116,0.002949,0.319052,0.004258,0.086468
2,117,0.016555,0.340888,0.027913,0.116794
2,118,0.044264,0.400241,0.104305,0.233282
2,119,-0.033949,0.352705,-0.081754,0.132457
2,120,-0.032968,0.308110,-0.079383,0.042559
2,121,-0.030452,0.268275,-0.078859,-0.039656
2,122,0.044234,0.324376,0.107719,0.063792
2,123,-0.029237,0.285655,-0.082625,-0.024104
2,124,0.015683,0.305818,0.026256,0.001519
2,125,0.016278,0.327074,0.026942,0.028502
2,126,-0.007531,0.317080,-0.014944,0.013132
2,127,0.044396,0.375553,0.104763,0.119270
2,128,-0.008654,0.363649,-0.018162,0.098942
2,129,0.018204,0.388473,0.030614,0.132585
2,130,0.003821,0.393779,0.002190,0.135066
2,131,-0.007766,0.382955,-0.019679,0.112729
2,132,0.016974,0.406430,0.029498,0.145552
2,133,-0.007228,0.396263,-0.018465,0.124400
2,134,0.016703,0.419585,0.029259,0.157299
2,135,0.044611,0.482913,0.103717,0.277331
2,136,-0.008789,0.469880,-0.019904,0.251907
2,137,0.004302,0.476203,0.001249,0.253471
2,138,0.017573,0.502144,0.030829,0.292115
2,139,-0.034708,0.450008,-0.080085,0.188636
2,140,0.016211,0.473514,0.028713,0.222766
2,141,-0.031845,0.426590,-0.080445,0.124400
2,142,0.003495,0.431576,0.005388,0.130457
2,143,-0.005692,0.423428,-0.013064,0.115689
2,144,0.003827,0.428875,0.006892,0.123377
2,145,-0.005968,0.420348,-0.013779,0.107898
2,146,-0.030556,0.376948,-0.082209,0.016820
2,147,0.045642,0.439794,0.107336,0.125961
2,148,-0.007155,0.429492,-0.013754,0.110475
2,149,-0.031393,0.384616,-0.081808,0.019629
2,150,0.016305,0.407192,0.027115,0.047276
2,151,0.002936,0.411323,0.006514,0.054098
2,152,0.044834,0.474598,0.105156,0.164943
2,153,-0.008422,0.462178,-0.017386,0.144689
2,154,0.018287,0.488916,0.030740,0.179877
2,155,-0.034473,0.437589,-0.080614,0.084762
2,156,0.016725,0.461632,0.028732,0.115930
2,157,0.003590,0.466880,0.004021,0.120417
2,158,0.004059,0.472834,0.004283,0.125216
2,159,0.016717,0.497454,0.028911,0.157747
2,160,0.044462,0.564034,0.103922,0.278063
2,161,0.018784,0.593412,0.033375,0.320718
2,162,0.004004,0.599792,0.000251,0.321050
2,163,0.043943,0.670092,0.101754,0.455472
3,1,-0.035844,-0.035844,-0.081172,-0.081172
3,2,-0.006355,-0.041971,-0.018881,-0.098521
3,3,-0.031676,-0.072318,-0.080320,-0.170928
3,4,0.003967,-0.068637,0.006087,-0.165881
3,5,-0.028842,-0.095500,-0.081960,-0.234246
