H,hidden,layers,dropout,pinball_oos,SPX_bias_med,SPX_mae_med,SPX_ancho,SPX_cruces_pct,SPX_cob_q1090,SPX_cob_q50,CMC200_bias_med,CMC200_mae_med,CMC200_ancho,CMC200_cruces_pct,CMC200_cob_q1090,CMC200_cob_q50,n_oos,elapsed_sec
52,24,1,0.1,0.011808867566287518,0.003502724226564169,0.01393035240471363,0.0876402035355568,86.66666666666667,0.9777777777777777,0.3333333333333333,0.013385072350502014,0.04178211838006973,0.1993505209684372,51.11111111111111,0.8666666666666667,0.4222222222222222,45,7.4
52,24,1,0.3,0.01192682795226574,0.003945803735405207,0.013837899081408978,0.09233836084604263,42.22222222222222,1.0,0.35555555555555557,0.009426621720194817,0.04133831337094307,0.1785915195941925,31.11111111111111,0.8666666666666667,0.4666666666666667,45,8.8
52,24,2,0.1,0.011445562355220318,0.0007057262118905783,0.01253844890743494,0.07785289734601974,82.22222222222221,0.9333333333333333,0.4444444444444444,0.00955151952803135,0.04211075231432915,0.19380106031894684,44.44444444444444,0.8444444444444444,0.4222222222222222,45,10.3
52,24,2,0.3,0.011724361218512058,0.0019297254038974643,0.013041348196566105,0.08683009445667267,77.77777777777779,0.9777777777777777,0.4222222222222222,0.01403482910245657,0.04371826723217964,0.1839008778333664,51.11111111111111,0.8888888888888888,0.4,45,20.2
52,32,1,0.1,0.011645259335637093,0.0009015258983708918,0.012623491697013378,0.08151480555534363,57.77777777777777,0.9777777777777777,0.4888888888888889,0.01598287932574749,0.042771462351083755,0.19455201923847198,17.77777777777778,0.8666666666666667,0.37777777777777777,45,12.2
52,32,1,0.3,0.011746753007173538,0.004211976192891598,0.013689781539142132,0.08570259064435959,28.888888888888886,0.9777777777777777,0.4,0.0196286179125309,0.04306163266301155,0.1844945251941681,17.77777777777778,0.9111111111111111,0.3111111111111111,45,13.8
52,32,2,0.1,0.011584430001676083,0.0033875477965921164,0.012973615899682045,0.08689921349287033,66.66666666666666,0.9777777777777777,0.4,0.013108450919389725,0.0408489853143692,0.18835529685020447,33.33333333333333,0.8,0.3111111111111111,45,16.0
52,32,2,0.3,0.011674430221319199,0.00945220049470663,0.015109086409211159,0.08556684106588364,68.88888888888889,0.9777777777777777,0.24444444444444444,0.009019149467349052,0.03976728767156601,0.16992050409317017,37.77777777777778,0.7555555555555555,0.3333333333333333,45,17.4
52,48,1,0.1,0.011612601578235626,0.005003524944186211,0.013652794994413853,0.07121334224939346,73.33333333333333,0.9777777777777777,0.37777777777777777,0.014260166324675083,0.04285667836666107,0.18854326009750366,37.77777777777778,0.8666666666666667,0.35555555555555557,45,6.5
52,48,1,0.3,0.011747190728783607,0.003997684922069311,0.013876749202609062,0.08918611705303192,68.88888888888889,0.9777777777777777,0.3333333333333333,0.012057218700647354,0.04270421713590622,0.19674617052078247,15.555555555555555,0.8666666666666667,0.37777777777777777,45,6.2
52,48,2,0.1,0.011284654028713703,0.005451610777527094,0.013926506042480469,0.08157308399677277,84.44444444444444,1.0,0.3333333333333333,0.007877333089709282,0.04008054360747337,0.19916267693042755,24.444444444444443,0.8888888888888888,0.4666666666666667,45,12.7
52,48,2,0.3,0.011419892311096191,0.0035499748773872852,0.013104165904223919,0.085446797311306,64.44444444444444,1.0,0.35555555555555557,0.014092654921114445,0.04135570675134659,0.1855202615261078,80.0,0.8666666666666667,0.4,45,10.3
